ProblemNo,Connection,Cost
10,54701 : 24 -> 25 ; 54702 : 11 -> 12 ; 14888 : 16 -> 17 ; 19107 : 6 -> 7 ; 19108 : 14 -> 13 ; 12455 : 20 -> 16 ; 22480 : 2 -> 3 ; 54702 : 1 -> 3 ; 54704 : 30 -> 31 ; 11013 : 25 -> 27 ; 12007 : 2 -> 3 ; 12008 : 2 -> 3 ; 12079 : 1 -> 2 ; 12577 : 38 -> 39 ; 12614 : 1 -> 2 ; 12691 : 10 -> 11 ; 16227 : 1 -> 2 ; 16537 : 1 -> 2 ; 22691 : 1 -> 2 ; 22818 : 2 -> 3 ; 56264 : 1 -> 2 ; 02509 : 3 -> 4 ; 06065 : 1 -> 2 ; 11028 : 1 -> 2 ; 12077 : 1 -> 2 ; 12269 : 1 -> 2 ; 12295 : 9 -> 10 ; 12507 : 21 -> 22 ; 12607 : 1 -> 2 ; 22205 : 1 -> 2 ; 22611 : 1 -> 2 ; 01655 : 9 -> 10 ; 01656 : 5 -> 6 ; 01713 : 9 -> 10 ; 02590 : 5 -> 6 ; 08244 : 24 -> 25 ; 11016 : 27 -> 28 ; 11034 : 22 -> 23 ; 11037 : 8 -> 9 ; 11046 : 16 -> 17 ; 11056 : 18 -> 19 ; 11058 : 67 -> 68 ; 11204 : 22 -> 23 ; 11271 : 1 -> 2 ; 11463 : 41 -> 42 ; 12103 : 8 -> 9 ; 12194 : 5 -> 6 ; 12213 : 12 -> 3 ; 12293 : 4 -> 5 ; 13202 : 24 -> 25 ; 22111 : 9 -> 10 ; 59385 : 21 -> 22 ; 01656 : 1 -> 2 ; 10002 : 1 -> 2 ; 11033 : 12 -> 13 ; 11055 : 7 -> 8 ; 11208 : 5 -> 6 ; 11265 : 1 -> 2 ; 11271 : 20 -> 21 ; 11451 : 1 -> 2 ; 18233 : 34 -> 35 ; 22909 : 10 -> 3 ; 58840 : 2 -> 4 ; 58839 : 47 -> 48 ; 58840 : 6 -> 5 ; 58839 : 43 -> 44 ; 58840 : 10 -> 6 ; 58840 : 12 -> 13 ; 58868 : 12 -> 7 ; 58868 : 15 -> 8 ; 58840 : 15 -> 16 ; 58868 : 17 -> 9 ; 58865 : 7 -> 8 ; 58871 : 7 -> 11 ; 58870 : 19 -> 20,18
11,58111 : 66 -> 67 ; 58112 : 36 -> 37 ; 02511 : 7 -> 8 ; 02512 : 19 -> 20 ; 08243 : 3 -> 4 ; 08244 : 31 -> 32 ; 12070 : 5 -> 6 ; 12145 : 11 -> 12 ; 12856 : 12 -> 13 ; 12880 : 12 -> 13 ; 12993 : 15 -> 16 ; 18030 : 37 -> 38 ; 18239 : 19 -> 20 ; 22828 : 7 -> 8 ; 22866 : 12 -> 68 ; 58529 : 9 -> 10 ; 58530 : 54 -> 55 ; 01402 : 1 -> 2 ; 02512 : 22 -> 23 ; 02590 : 4 -> 5 ; 08243 : 8 -> 9 ; 11045 : 17 -> 18 ; 11046 : 22 -> 23 ; 11203 : 1 -> 2 ; 12102 : 10 -> 11 ; 12105 : 21 -> 22 ; 12106 : 4 -> 5 ; 12194 : 6 -> 7 ; 12222 : 4 -> 5 ; 12285 : 3 -> 4 ; 12434 : 6 -> 7 ; 12438 : 5 -> 6 ; 12641 : 21 -> 22 ; 12650 : 4 -> 5 ; 12652 : 4 -> 5 ; 12708 : 4 -> 5 ; 12724 : 9 -> 10 ; 12768 : 11 -> 12 ; 12772 : 1 -> 2 ; 12807 : 28 -> 29 ; 12833 : 32 -> 33 ; 12880 : 14 -> 15 ; 18029 : 32 -> 33 ; 22112 : 1 -> 2 ; 22679 : 4 -> 5 ; 12511 : 26 -> 27 ; 12655 : 26 -> 27 ; 16031 : 28 -> 29 ; 17234 : 7 -> 8 ; 17035 : 11 -> 12 ; 17234 : 13 -> 14,5
12,58865 : 2 -> 3 ; 58870 : 22 -> 23 ; 10001 : 2 -> 6 ; 58865 : 7 -> 8 ; 58871 : 7 -> 7 ; 58840 : 15 -> 16 ; 58865 : 11 -> 12 ; 58868 : 17 -> 8 ; 58839 : 39 -> 40 ; 58865 : 13 -> 9 ; 58839 : 41 -> 10 ; 58839 : 43 -> 44 ; 58865 : 17 -> 18 ; 58871 : 14 -> 11 ; 58839 : 47 -> 12 ; 58840 : 2 -> 3 ; 01656 : 1 -> 2 ; 11033 : 12 -> 13 ; 11034 : 19 -> 20 ; 11038 : 9 -> 10 ; 11053 : 8 -> 9 ; 11055 : 7 -> 8 ; 11208 : 5 -> 6 ; 11265 : 1 -> 2 ; 11271 : 20 -> 21 ; 11451 : 1 -> 2 ; 12142 : 7 -> 8 ; 12150 : 10 -> 11 ; 12335 : 27 -> 28 ; 18233 : 34 -> 35 ; 22356 : 3 -> 4 ; 22909 : 10 -> 11 ; 01655 : 7 -> 8 ; 02111 : 7 -> 8 ; 11015 : 17 -> 18 ; 11016 : 31 -> 32 ; 11062 : 26 -> 27 ; 11077 : 14 -> 15 ; 12143 : 5 -> 6 ; 12422 : 17 -> 18 ; 12719 : 11 -> 12 ; 12944 : 7 -> 8 ; 13202 : 17 -> 18 ; 52973 : 24 -> 25 ; 52974 : 16 -> 17 ; 01149 : 2 -> 3 ; 12656 : 28 -> 29 ; 12834 : 47 -> 48 ; 16733 : 31 -> 32 ; 59014 : 3 -> 4 ; 11049 : 6 -> 7 ; 11050 : 13 -> 14 ; 12248 : 6 -> 7 ; 12480 : 3 -> 4 ; 19011 : 14 -> 15 ; 19017 : 9 -> 10 ; 19033 : 9 -> 10 ; 22210 : 6 -> 7 ; 59439 : 36 -> 37 ; 12227 : 1 -> 2 ; 12267 : 1 -> 2 ; 12901 : 1 -> 2 ; 12921 : 1 -> 2 ; 11088 : 17 -> 18 ; 11090 : 17 -> 18 ; 11463 : 15 -> 16 ; 12216 : 7 -> 8 ; 12480 : 7 -> 8 ; 12490 : 7 -> 8 ; 12915 : 1 -> 2 ; 12938 : 14 -> 15 ; 16125 : 17 -> 18 ; 19017 : 18 -> 19 ; 19259 : 36 -> 37 ; 19576 : 11 -> 12 ; 22903 : 5 -> 6 ; 19215 : 47 -> 48 ; 59547 : 6 -> 7 ; 59548 : 43 -> 44,18
13,12465 : 21 -> 22 ; 12466 : 8 -> 9 ; 14660 : 17 -> 18 ; 14853 : 29 -> 30 ; 54811 : 73 -> 74 ; 54812 : 26 -> 27 ; 08243 : 28 -> 29 ; 12464 : 4 -> 5 ; 12468 : 6 -> 7 ; 54811 : 77 -> 78 ; 08244 : 9 -> 10 ; 11204 : 1 -> 2 ; 12016 : 3 -> 4 ; 12035 : 1 -> 2 ; 12240 : 1 -> 2 ; 12308 : 6 -> 7 ; 12316 : 9 -> 10 ; 12396 : 2 -> 3 ; 12462 : 7 -> 8 ; 12495 : 5 -> 6 ; 12957 : 7 -> 8 ; 08244 : 12 -> 13 ; 09807 : 3 -> 4 ; 12060 : 9 -> 10 ; 12181 : 16 -> 11 ; 12471 : 15 -> 16 ; 13238 : 3 -> 4 ; 15667 : 13 -> 14 ; 19019 : 62 -> 63 ; 54811 : 48 -> 49 ; 54812 : 51 -> 52 ; 59811 : 42 -> 43 ; 59812 : 30 -> 31 ; 08244 : 14 -> 15 ; 08246 : 14 -> 15 ; 11203 : 16 -> 17 ; 12182 : 12 -> 13 ; 12465 : 12 -> 13 ; 12466 : 18 -> 19 ; 12948 : 14 -> 15 ; 13424 : 6 -> 7 ; 14709 : 12 -> 13 ; 18474 : 8 -> 9 ; 19019 : 56 -> 57 ; 22632 : 11 -> 12 ; 22981 : 1 -> 2 ; 54812 : 58 -> 59 ; 59821 : 1 -> 2 ; 11101 : 21 -> 22 ; 11102 : 3 -> 4 ; 11702 : 8 -> 9 ; 12197 : 7 -> 8 ; 14317 : 10 -> 11 ; 18574 : 14 -> 15 ; 19660 : 7 -> 8 ; 54811 : 26 -> 27 ; 54812 : 67 -> 68 ; 08892 : 15 -> 16 ; 11071 : 26 -> 27 ; 11072 : 16 -> 17 ; 11271 : 32 -> 33 ; 11272 : 14 -> 15 ; 11465 : 43 -> 44 ; 12550 : 9 -> 10 ; 18009 : 15 -> 16 ; 08892 : 17 -> 18 ; 13026 : 8 -> 9 ; 18010 : 12 -> 13 ; 18236 : 35 -> 36,8
14,57305 : 7 -> 8 ; 17023 : 5 -> 6 ; 57306 : 50 -> 51 ; 12797 : 2 -> 3 ; 12798 : 23 -> 7 ; 12193 : 10 -> 11 ; 12194 : 12 -> 13 ; 12251 : 9 -> 10 ; 12649 : 4 -> 5 ; 12650 : 6 -> 7 ; 12765 : 12 -> 13 ; 12785 : 1 -> 2 ; 16733 : 19 -> 20 ; 17639 : 1 -> 2 ; 02882 : 5 -> 6 ; 07703 : 17 -> 18 ; 11020 : 25 -> 26 ; 12214 : 12 -> 13 ; 12220 : 1 -> 2 ; 12706 : 1 -> 2 ; 12734 : 1 -> 2 ; 12748 : 6 -> 7 ; 12806 : 1 -> 2 ; 17221 : 15 -> 16 ; 22680 : 5 -> 6 ; 22692 : 6 -> 7 ; 22694 : 6 -> 7 ; 22882 : 10 -> 11 ; 11013 : 11 -> 12 ; 11014 : 24 -> 25 ; 11018 : 25 -> 26 ; 11027 : 22 -> 23 ; 11043 : 11 -> 12 ; 12025 : 4 -> 5 ; 12220 : 3 -> 4 ; 12701 : 9 -> 10 ; 02511 : 1 -> 2 ; 11005 : 5 -> 6 ; 11006 : 35 -> 36 ; 11008 : 1 -> 2 ; 11014 : 32 -> 33 ; 11023 : 12 -> 13 ; 11026 : 1 -> 2 ; 11028 : 45 -> 46 ; 11029 : 13 -> 14 ; 12630 : 4 -> 5 ; 22695 : 4 -> 5 ; 51401 : 1 -> 2 ; 11049 : 4 -> 5 ; 11050 : 15 -> 16 ; 11101 : 11 -> 12 ; 11463 : 19 -> 20 ; 12216 : 5 -> 6 ; 12217 : 16 -> 17 ; 12218 : 6 -> 7 ; 12284 : 3 -> 4 ; 12298 : 4 -> 5 ; 12479 : 13 -> 14 ; 12908 : 3 -> 4 ; 12909 : 4 -> 5 ; 17204 : 25 -> 26 ; 19012 : 7 -> 8 ; 19018 : 18 -> 19 ; 19019 : 15 -> 16 ; 19033 : 19 -> 20 ; 19116 : 15 -> 6 ; 59439 : 53 -> 54 ; 59440 : 19 -> 20 ; 02779 : 2 -> 3 ; 06948 : 8 -> 9 ; 10104 : 1 -> 2 ; 10215 : 1 -> 2 ; 12218 : 9 -> 10 ; 12223 : 4 -> 5 ; 12619 : 10 -> 11 ; 16311 : 23 -> 24 ; 56641 : 1 -> 2,9
15,11091 : 4 -> 5 ; 11092 : 21 -> 22 ; 12937 : 1 -> 2 ; 12959 : 18 -> 19 ; 11091 : 6 -> 7 ; 12960 : 4 -> 5 ; 14312 : 6 -> 7 ; 19453 : 3 -> 4 ; 22484 : 2 -> 3 ; 22904 : 3 -> 4 ; 11049 : 1 -> 2 ; 11463 : 15 -> 16 ; 12216 : 7 -> 8 ; 12268 : 1 -> 2 ; 12297 : 1 -> 2 ; 12479 : 11 -> 12 ; 12490 : 7 -> 8 ; 12833 : 1 -> 2 ; 12915 : 1 -> 2 ; 12937 : 4 -> 5 ; 16125 : 17 -> 18 ; 16534 : 24 -> 25 ; 12227 : 1 -> 2 ; 12901 : 1 -> 2 ; 12921 : 1 -> 2 ; 22209 : 1 -> 2 ; 04406 : 1 -> 2 ; 04416 : 1 -> 2 ; 11077 : 40 -> 41 ; 11078 : 28 -> 29 ; 11449 : 16 -> 17 ; 12005 : 1 -> 2 ; 12011 : 1 -> 2 ; 12013 : 1 -> 2 ; 12015 : 1 -> 2 ; 12017 : 1 -> 2 ; 12031 : 1 -> 2 ; 12037 : 1 -> 2 ; 12055 : 1 -> 2 ; 12422 : 10 -> 11 ; 12459 : 1 -> 2 ; 12555 : 10 -> 11 ; 14316 : 1 -> 2 ; 19023 : 72 -> 73 ; 19566 : 15 -> 16 ; 19803 : 10 -> 11 ; 22679 : 6 -> 7 ; 22680 : 2 -> 3 ; 22806 : 1 -> 2 ; 12260 : 2 -> 3 ; 12820 : 2 -> 3 ; 14316 : 4 -> 4 ; 12274 : 3 -> 4 ; 12282 : 4 -> 5 ; 12350 : 5 -> 6 ; 12394 : 3 -> 4 ; 03236 : 2 -> 3 ; 08450 : 1 -> 2 ; 11106 : 12 -> 13 ; 12306 : 7 -> 8 ; 12362 : 14 -> 15 ; 12424 : 7 -> 8 ; 12519 : 17 -> 18 ; 12568 : 1 -> 2 ; 12578 : 35 -> 36 ; 13330 : 1 -> 2 ; 13348 : 1 -> 2 ; 22214 : 1 -> 2 ; 13050 : 84 -> 85 ; 18619 : 12 -> 13 ; 18621 : 27 -> 28 ; 53049 : 34 -> 35 ; 53050 : 18 -> 19,9
16,17233 : 16 -> 17 ; 17234 : 19 -> 18 ; 12721 : 8 -> 9 ; 12761 : 11 -> 12 ; 12792 : 27 -> 28 ; 16863 : 24 -> 19 ; 07708 : 5 -> 6 ; 07720 : 4 -> 5 ; 08502 : 3 -> 4 ; 12296 : 23 -> 24 ; 12714 : 3 -> 4 ; 12738 : 6 -> 7 ; 12739 : 11 -> 12 ; 18111 : 21 -> 22 ; 57625 : 16 -> 17 ; 00851 : 4 -> 5 ; 00852 : 4 -> 5 ; 02509 : 4 -> 5 ; 02510 : 16 -> 17 ; 02853 : 5 -> 6 ; 02874 : 3 -> 4 ; 02877 : 6 -> 7 ; 02878 : 8 -> 9 ; 06335 : 35 -> 36 ; 07265 : 7 -> 8 ; 07703 : 10 -> 11 ; 07718 : 7 -> 8 ; 12511 : 32 -> 33 ; 12551 : 6 -> 7 ; 12552 : 24 -> 25 ; 12626 : 14 -> 15 ; 12652 : 5 -> 6 ; 12688 : 20 -> 21 ; 12706 : 12 -> 13 ; 12718 : 1 -> 2 ; 12776 : 4 -> 5 ; 12842 : 3 -> 4 ; 17201 : 5 -> 6 ; 17202 : 20 -> 21 ; 17249 : 9 -> 10 ; 17406 : 39 -> 40 ; 17479 : 52 -> 53 ; 57257 : 53 -> 54 ; 02510 : 18 -> 7 ; 02877 : 11 -> 12 ; 06066 : 12 -> 13 ; 08302 : 4 -> 5 ; 11005 : 32 -> 33 ; 12602 : 29 -> 30 ; 12607 : 6 -> 7 ; 12609 : 7 -> 8 ; 12610 : 12 -> 13 ; 12623 : 2 -> 3 ; 12624 : 20 -> 21 ; 12685 : 2 -> 3 ; 12692 : 11 -> 12 ; 12695 : 3 -> 4 ; 12867 : 16 -> 17 ; 12868 : 5 -> 6 ; 12889 : 23 -> 24 ; 22606 : 6 -> 7 ; 22618 : 4 -> 8 ; 06065 : 9 -> 10 ; 06066 : 6 -> 7 ; 12508 : 39 -> 40 ; 12671 : 8 -> 9 ; 22629 : 20 -> 21 ; 06066 : 1 -> 2 ; 12075 : 8 -> 9 ; 12217 : 5 -> 6 ; 12218 : 17 -> 18 ; 12626 : 30 -> 31 ; 13351 : 93 -> 94 ; 16127 : 41 -> 42 ; 16301 : 11 -> 12 ; 12075 : 5 -> 6 ; 12511 : 49 -> 50 ; 16308 : 18 -> 19 ; 16345 : 35 -> 36 ; 16605 : 25 -> 26,9
17,18233 : 35 -> 36 ; 18234 : 38 -> 39 ; 01656 : 1 -> 2 ; 10002 : 1 -> 2 ; 11033 : 12 -> 13 ; 11034 : 19 -> 20 ; 11038 : 9 -> 10 ; 11053 : 8 -> 9 ; 11055 : 7 -> 8 ; 11208 : 5 -> 6 ; 11265 : 1 -> 2 ; 12142 : 7 -> 8 ; 12150 : 10 -> 11 ; 12335 : 27 -> 28 ; 22356 : 3 -> 4 ; 22909 : 10 -> 11 ; 11093 : 22 -> 23 ; 12149 : 16 -> 17 ; 12167 : 13 -> 14 ; 12329 : 7 -> 8 ; 12367 : 19 -> 20 ; 13201 : 21 -> 22 ; 13202 : 46 -> 47 ; 02111 : 12 -> 13 ; 02112 : 2 -> 3 ; 02590 : 8 -> 9 ; 11015 : 39 -> 40 ; 11016 : 10 -> 11 ; 11105 : 17 -> 18 ; 11110 : 3 -> 4 ; 12003 : 2 -> 3 ; 12179 : 3 -> 4 ; 12249 : 8 -> 9 ; 12301 : 9 -> 10 ; 12308 : 11 -> 12 ; 12311 : 18 -> 19 ; 12319 : 8 -> 9 ; 12395 : 8 -> 9 ; 12403 : 4 -> 5 ; 12427 : 8 -> 9 ; 12535 : 2 -> 3 ; 12593 : 2 -> 3 ; 12937 : 10 -> 11 ; 13167 : 14 -> 15 ; 14055 : 57 -> 58 ; 14153 : 1 -> 2 ; 14217 : 17 -> 18 ; 15003 : 2 -> 3 ; 18204 : 1 -> 2 ; 22805 : 18 -> 19 ; 11069 : 21 -> 22 ; 11070 : 5 -> 6 ; 11107 : 12 -> 13 ; 12175 : 21 -> 22 ; 15206 : 15 -> 16 ; 18203 : 17 -> 18,5
18,53050 : 47 -> 48 ; 02509 : 11 -> 12 ; 02510 : 8 -> 9 ; 11448 : 1 -> 2 ; 12019 : 1 -> 2 ; 12041 : 1 -> 2 ; 12222 : 1 -> 2 ; 12253 : 22 -> 23 ; 12277 : 1 -> 2 ; 12339 : 1 -> 2 ; 12347 : 1 -> 2 ; 12507 : 39 -> 40 ; 12834 : 1 -> 2 ; 12847 : 1 -> 2 ; 13007 : 1 -> 2 ; 13017 : 1 -> 2 ; 13019 : 1 -> 2 ; 18005 : 1 -> 2 ; 53047 : 1 -> 10 ; 02853 : 2 -> 3 ; 08402 : 2 -> 3 ; 12073 : 2 -> 3 ; 12152 : 2 -> 3 ; 12262 : 2 -> 3 ; 12813 : 2 -> 3 ; 12821 : 2 -> 3 ; 12827 : 3 -> 4 ; 12885 : 4 -> 5 ; 15022 : 14 -> 15 ; 22614 : 4 -> 5 ; 22811 : 6 -> 7 ; 58012 : 37 -> 38 ; 01402 : 1 -> 2 ; 02511 : 4 -> 5 ; 02512 : 22 -> 23 ; 02590 : 4 -> 5 ; 08243 : 8 -> 9 ; 11045 : 17 -> 18 ; 11046 : 22 -> 23 ; 11203 : 1 -> 2 ; 12102 : 10 -> 11 ; 12105 : 21 -> 22 ; 12106 : 4 -> 5 ; 12194 : 6 -> 7 ; 12222 : 4 -> 5 ; 12285 : 3 -> 4 ; 12434 : 6 -> 7 ; 12438 : 5 -> 6 ; 12641 : 21 -> 22 ; 12650 : 4 -> 5 ; 12652 : 4 -> 5 ; 12708 : 4 -> 5 ; 12724 : 9 -> 10 ; 12768 : 11 -> 12 ; 12772 : 1 -> 2 ; 12807 : 28 -> 29 ; 12833 : 32 -> 33 ; 12880 : 14 -> 15 ; 18029 : 32 -> 33 ; 22112 : 1 -> 2 ; 22679 : 4 -> 5 ; 00851 : 4 -> 5 ; 02510 : 16 -> 17 ; 02853 : 5 -> 6 ; 02874 : 3 -> 4 ; 02877 : 6 -> 7 ; 02878 : 8 -> 9 ; 06335 : 35 -> 36 ; 07265 : 7 -> 8 ; 07703 : 10 -> 11 ; 07718 : 7 -> 8 ; 08501 : 10 -> 11 ; 12511 : 32 -> 33 ; 12551 : 6 -> 7 ; 12552 : 24 -> 25 ; 12626 : 14 -> 6 ; 12688 : 20 -> 21 ; 12706 : 12 -> 13 ; 12718 : 1 -> 2 ; 12776 : 4 -> 5 ; 12842 : 3 -> 4 ; 17201 : 5 -> 6 ; 17202 : 20 -> 21 ; 17249 : 9 -> 10 ; 17406 : 39 -> 40 ; 17479 : 52 -> 53 ; 57257 : 53 -> 54 ; 02510 : 18 -> 7 ; 02877 : 11 -> 12 ; 06066 : 12 -> 13 ; 08302 : 4 -> 5 ; 11005 : 32 -> 33 ; 12602 : 29 -> 30 ; 12607 : 6 -> 7 ; 12609 : 7 -> 8 ; 12610 : 12 -> 13 ; 12623 : 2 -> 3 ; 12624 : 20 -> 21 ; 12685 : 2 -> 3 ; 12692 : 11 -> 12 ; 12695 : 3 -> 4 ; 12867 : 16 -> 17 ; 12868 : 5 -> 6 ; 12889 : 23 -> 24 ; 22606 : 6 -> 7 ; 22618 : 4 -> 8 ; 06065 : 9 -> 10 ; 06066 : 6 -> 7 ; 12508 : 39 -> 40 ; 12671 : 8 -> 9 ; 22629 : 20 -> 21 ; 06066 : 1 -> 2 ; 12075 : 8 -> 9 ; 12218 : 17 -> 18 ; 12626 : 30 -> 31 ; 13351 : 93 -> 94 ; 16127 : 41 -> 42 ; 16301 : 11 -> 12 ; 12075 : 10 -> 11 ; 12432 : 17 -> 18 ; 12511 : 57 -> 58 ; 16307 : 1 -> 2 ; 06335 : 57 -> 58 ; 12075 : 12 -> 13 ; 12081 : 15 -> 16 ; 12516 : 51 -> 52 ; 16128 : 15 -> 16 ; 16301 : 24 -> 25 ; 16304 : 7 -> 8 ; 16342 : 6 -> 7 ; 56700 : 37 -> 38 ; 56701 : 10 -> 11 ; 12660 : 44 -> 45 ; 12698 : 1 -> 2 ; 16128 : 20 -> 21 ; 19578 : 26 -> 27 ; 56701 : 27 -> 28 ; 12633 : 17 -> 18 ; 12634 : 2 -> 3 ; 12641 : 2 -> 3 ; 16127 : 25 -> 26 ; 16128 : 24 -> 25 ; 16317 : 2 -> 3 ; 16382 : 2 -> 3 ; 16526 : 47 -> 48 ; 56700 : 16 -> 17,13
19,51421 : 52 -> 53 ; 51422 : 26 -> 54 ; 11201 : 13 -> 14 ; 11202 : 15 -> 55 ; 11045 : 10 -> 11 ; 11046 : 29 -> 30 ; 17688 : 11 -> 31 ; 11202 : 17 -> 18 ; 12072 : 1 -> 2 ; 16003 : 25 -> 26 ; 17687 : 12 -> 13 ; 17688 : 14 -> 15 ; 01153 : 3 -> 4 ; 01154 : 10 -> 11 ; 01655 : 5 -> 6 ; 01712 : 11 -> 12 ; 11026 : 14 -> 15 ; 11037 : 4 -> 5 ; 12114 : 6 -> 7 ; 12222 : 6 -> 7 ; 12361 : 16 -> 17 ; 22456 : 14 -> 15 ; 22866 : 16 -> 17 ; 22893 : 4 -> 5 ; 51422 : 43 -> 44 ; 01149 : 2 -> 3 ; 11454 : 7 -> 8 ; 12656 : 28 -> 29 ; 12834 : 47 -> 48 ; 16733 : 31 -> 32 ; 59013 : 30 -> 31 ; 59014 : 3 -> 4,7
20,14266 : 45 -> 46 ; 14203 : 3 -> 4 ; 14204 : 14 -> 8 ; 14307 : 7 -> 8 ; 14308 : 34 -> 9 ; 14307 : 10 -> 11,107
21,13346 : 6 -> 8 ; 14203 : 1 -> 2 ; 15111 : 13 -> 14 ; 23010 : 38 -> 45,155
22,23010 : 55 -> 61,166
23,14266 : 49 -> 50 ; 14203 : 1 -> 2 ; 15111 : 13 -> 14 ; 23010 : 38 -> 3 ; 14266 : 47 -> 5 ; 14266 : 44 -> 8 ; 14307 : 7 -> 8 ; 14308 : 34 -> 9 ; 14307 : 10 -> 12 ; 14203 : 9 -> 13 ; 54253 : 14 -> 15 ; 14307 : 13 -> 14 ; 14203 : 10 -> 15 ; 54253 : 16 -> 17 ; 14307 : 15 -> 18 ; 14203 : 11 -> 13 ; 14307 : 17 -> 18 ; 54253 : 18 -> 19 ; 14307 : 18 -> 20 ; 14203 : 13 -> 21 ; 54253 : 21 -> 22 ; 14307 : 21 -> 22 ; 14203 : 14 -> 16 ; 14307 : 24 -> 29 ; 54253 : 29 -> 30 ; 14307 : 29 -> 31 ; 19269 : 24 -> 25 ; 23010 : 19 -> 32,367
24,19269 : 16 -> 21 ; 14266 : 17 -> 22 ; 23010 : 8 -> 9 ; 14266 : 19 -> 20 ; 14308 : 1 -> 2 ; 15043 : 2 -> 21 ; 19269 : 23 -> 24 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 6 -> 23 ; 14308 : 8 -> 9 ; 23010 : 15 -> 16 ; 14266 : 25 -> 10 ; 23010 : 17 -> 18 ; 14266 : 28 -> 19 ; 14204 : 1 -> 2 ; 14266 : 31 -> 32 ; 14308 : 11 -> 12 ; 19269 : 24 -> 24,679
