ProblemNo,Connection,Cost
27,14313 : 26 -> 27 ; 14266 : 19 -> 20 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 14266 : 31 -> 32 ; 14204 : 2 -> 3 ; 14266 : 33 -> 34 ; 14204 : 4 -> 5 ; 14266 : 36 -> 37 ; 14204 : 7 -> 8 ; 14266 : 38 -> 39 ; 14204 : 9 -> 11 ; 14266 : 42 -> 43 ; 14204 : 12 -> 13 ; 14266 : 44 -> 46 ; 14204 : 14 -> 16 ; 23010 : 38 -> 44,617
28,19269 : 20 -> 21,161
29,23010 : 44 -> 60,329
30,15901 : 8 -> 9 ; 12867 : 11 -> 12 ; 12764 : 15 -> 16 ; 12734 : 20 -> 21 ; 17404 : 20 -> 21 ; 57258 : 88 -> 89 ; 02873 : 7 -> 8 ; 12644 : 17 -> 18 ; 12845 : 16 -> 17 ; 13351 : 77 -> 78 ; 12609 : 8 -> 10 ; 12688 : 26 -> 27 ; 06544 : 7 -> 8 ; 12863 : 31 -> 32 ; 16021 : 11 -> 12 ; 16525 : 44 -> 45 ; 12296 : 33 -> 34 ; 11013 : 24 -> 25 ; 54702 : 3 -> 4 ; 54701 : 31 -> 33 ; 19224 : 37 -> 38 ; 22982 : 9 -> 10 ; 08246 : 2 -> 4 ; 14709 : 3 -> 4 ; 08243 : 30 -> 31 ; 54811 : 88 -> 89 ; 54703 : 51 -> 53 ; 54811 : 91 -> 92 ; 54703 : 54 -> 59 ; 04802 : 10 -> 11 ; 12489 : 3 -> 4 ; 11089 : 2 -> 4 ; 12547 : 6 -> 7 ; 12479 : 6 -> 7 ; 19708 : 14 -> 18 ; 19030 : 14 -> 15 ; 11089 : 6 -> 7 ; 19066 : 4 -> 5 ; 19574 : 12 -> 13,1368
31,19019 : 30 -> 32 ; 59393 : 9 -> 10 ; 19019 : 33 -> 35 ; 59393 : 12 -> 13 ; 19019 : 36 -> 37 ; 19165 : 10 -> 11 ; 11463 : 25 -> 26 ; 19023 : 42 -> 43 ; 12415 : 5 -> 6 ; 12967 : 25 -> 26 ; 08245 : 18 -> 20 ; 19019 : 56 -> 57 ; 54811 : 41 -> 42 ; 22981 : 2 -> 3 ; 54811 : 44 -> 45 ; 08243 : 21 -> 22 ; 29019 : 14 -> 15 ; 19019 : 63 -> 64 ; 13238 : 4 -> 6 ; 19023 : 59 -> 60 ; 19019 : 68 -> 69 ; 12964 : 14 -> 15 ; 09807 : 8 -> 9 ; 19023 : 63 -> 64 ; 13007 : 81 -> 82 ; 12189 : 26 -> 27 ; 08891 : 15 -> 16 ; 19019 : 77 -> 78 ; 16031 : 54 -> 55 ; 13007 : 90 -> 91 ; 12056 : 9 -> 10 ; 12919 : 32 -> 33 ; 11077 : 43 -> 44 ; 12311 : 31 -> 32 ; 11077 : 45 -> 46 ; 12477 : 23 -> 24 ; 04923 : 6 -> 7 ; 12005 : 4 -> 5 ; 52457 : 1 -> 2,1067
32,17687 : 8 -> 9 ; 51421 : 41 -> 42 ; 17687 : 10 -> 11 ; 51421 : 43 -> 44 ; 17687 : 12 -> 13 ; 57515 : 36 -> 37 ; 57550 : 3 -> 4 ; 51421 : 47 -> 48 ; 17687 : 14 -> 15 ; 11201 : 12 -> 14 ; 17063 : 9 -> 10 ; 11401 : 16 -> 17 ; 57515 : 53 -> 54 ; 51421 : 63 -> 64 ; 51434 : 32 -> 33 ; 11205 : 15 -> 16 ; 12719 : 17 -> 18 ; 11205 : 17 -> 18 ; 51421 : 75 -> 77 ; 57564 : 8 -> 9 ; 17063 : 16 -> 17 ; 51421 : 80 -> 82 ; 57564 : 11 -> 12 ; 17640 : 11 -> 12 ; 17019 : 26 -> 28 ; 57620 : 2 -> 5 ; 57651 : 5 -> 6 ; 12748 : 7 -> 8 ; 12734 : 4 -> 5 ; 17232 : 12 -> 13 ; 12604 : 4 -> 5 ; 12734 : 7 -> 8 ; 07704 : 5 -> 6 ; 12734 : 9 -> 10 ; 07704 : 7 -> 8 ; 12704 : 5 -> 6 ; 06336 : 24 -> 25 ; 17239 : 9 -> 10 ; 57257 : 65 -> 66 ; 57271 : 11 -> 12 ; 57257 : 68 -> 71 ; 07708 : 11 -> 12 ; 57230 : 18 -> 19,959
33,12024 : 10 -> 11 ; 18620 : 9 -> 10 ; 13302 : 13 -> 14 ; 19607 : 8 -> 9 ; 11448 : 19 -> 20 ; 12873 : 7 -> 8 ; 11448 : 24 -> 25 ; 12877 : 3 -> 4 ; 11448 : 28 -> 31 ; 18109 : 21 -> 22 ; 18101 : 16 -> 17 ; 11448 : 33 -> 34 ; 84369 : 9 -> 10 ; 11448 : 35 -> 39 ; 11652 : 5 -> 6 ; 19607 : 15 -> 16 ; 08891 : 7 -> 8 ; 12186 : 6 -> 7 ; 22912 : 24 -> 25 ; 11271 : 32 -> 33 ; 18236 : 52 -> 54 ; 11271 : 34 -> 35 ; 22162 : 6 -> 7 ; 12138 : 33 -> 34 ; 11016 : 21 -> 22 ; 11058 : 59 -> 60 ; 11271 : 43 -> 44 ; 18236 : 65 -> 67 ; 18473 : 31 -> 32 ; 08243 : 13 -> 14 ; 12924 : 9 -> 10 ; 11464 : 20 -> 21 ; 11466 : 20 -> 21 ; 08243 : 16 -> 17 ; 12962 : 5 -> 6 ; 59320 : 34 -> 35 ; 19020 : 58 -> 59 ; 59320 : 36 -> 37 ; 11464 : 25 -> 26 ; 59394 : 48 -> 49 ; 19020 : 68 -> 70 ; 11102 : 11 -> 12 ; 11464 : 28 -> 29 ; 19024 : 66 -> 67,1767
34,06228 : 2 -> 4 ; 16205 : 4 -> 5 ; 06228 : 6 -> 8 ; 18112 : 6 -> 7 ; 16229 : 9 -> 10 ; 07324 : 6 -> 7 ; 56503 : 37 -> 38 ; 56502 : 24 -> 26 ; 56503 : 40 -> 41 ; 56502 : 27 -> 28 ; 56503 : 42 -> 43 ; 56502 : 29 -> 30 ; 56503 : 44 -> 45 ; 17212 : 8 -> 9 ; 56502 : 34 -> 35 ; 57305 : 47 -> 48 ; 56503 : 51 -> 52 ; 56502 : 38 -> 40 ; 56503 : 54 -> 55 ; 56502 : 41 -> 43 ; 56503 : 57 -> 58 ; 56502 : 44 -> 46 ; 56503 : 60 -> 61 ; 56502 : 47 -> 48 ; 57305 : 59 -> 60 ; 56502 : 49 -> 50 ; 56503 : 64 -> 66 ; 56502 : 53 -> 55 ; 57305 : 66 -> 67 ; 07712 : 10 -> 12 ; 12704 : 5 -> 6 ; 06336 : 24 -> 25 ; 18504 : 20 -> 21 ; 17016 : 16 -> 17 ; 17487 : 22 -> 24 ; 17239 : 16 -> 17 ; 57229 : 24 -> 25 ; 12728 : 13 -> 14 ; 17480 : 36 -> 37 ; 07712 : 21 -> 22 ; 17016 : 20 -> 21 ; 57271 : 39 -> 40 ; 22870 : 10 -> 11 ; 57229 : 32 -> 33 ; 02509 : 5 -> 6 ; 12840 : 19 -> 20 ; 17016 : 28 -> 29 ; 17480 : 49 -> 51 ; 18507 : 3 -> 4 ; 12507 : 28 -> 29 ; 12840 : 26 -> 27 ; 17480 : 61 -> 62 ; 18438 : 23 -> 24 ; 12844 : 38 -> 40 ; 17480 : 69 -> 71 ; 18646 : 40 -> 41,1591
35,15307 : 9 -> 10 ; 15007 : 36 -> 37 ; 12541 : 4 -> 5 ; 15483 : 42 -> 43 ; 12179 : 4 -> 5 ; 18109 : 36 -> 37 ; 12179 : 6 -> 8 ; 12381 : 19 -> 20 ; 12942 : 16 -> 17 ; 12496 : 13 -> 14 ; 12195 : 3 -> 4 ; 14853 : 19 -> 20 ; 12195 : 5 -> 6 ; 19716 : 13 -> 14 ; 12195 : 8 -> 9 ; 14853 : 24 -> 25 ; 12036 : 3 -> 4 ; 22981 : 10 -> 11 ; 54811 : 66 -> 68 ; 14311 : 27 -> 28 ; 16864 : 36 -> 37 ; 18473 : 41 -> 42 ; 14705 : 17 -> 18 ; 14710 : 28 -> 29 ; 08245 : 30 -> 31 ; 14710 : 30 -> 31 ; 14888 : 12 -> 13 ; 54704 : 29 -> 30 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 12578 : 4 -> 5 ; 15901 : 2 -> 3 ; 56213 : 20 -> 21 ; 06543 : 2 -> 3 ; 12608 : 4 -> 5 ; 06543 : 4 -> 5 ; 12610 : 8 -> 9 ; 16354 : 15 -> 16 ; 12610 : 11 -> 12 ; 06336 : 16 -> 17 ; 06066 : 13 -> 14 ; 12163 : 23 -> 24 ; 11017 : 20 -> 21 ; 16177 : 1 -> 2,1331
36,12138 : 2 -> 4 ; 19226 : 22 -> 23 ; 54703 : 5 -> 6 ; 54701 : 2 -> 4 ; 54703 : 8 -> 9 ; 54701 : 5 -> 7 ; 24887 : 19 -> 20 ; 54701 : 10 -> 11 ; 24887 : 21 -> 23 ; 54701 : 14 -> 15 ; 54703 : 16 -> 17 ; 22982 : 4 -> 5 ; 19108 : 12 -> 13 ; 54701 : 20 -> 23 ; 22982 : 6 -> 7 ; 24887 : 27 -> 28 ; 54703 : 28 -> 29 ; 54701 : 30 -> 32 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 16210 : 4 -> 5 ; 16594 : 3 -> 4 ; 17307 : 11 -> 12 ; 16569 : 3 -> 4 ; 11302 : 7 -> 8 ; 12786 : 8 -> 9 ; 12251 : 3 -> 4 ; 11014 : 15 -> 16 ; 17604 : 10 -> 11 ; 07712 : 3 -> 4 ; 17212 : 8 -> 9 ; 56502 : 34 -> 35 ; 57305 : 47 -> 48 ; 56503 : 51 -> 52 ; 56502 : 38 -> 40 ; 56503 : 54 -> 55 ; 56502 : 41 -> 43 ; 56503 : 57 -> 58 ; 56502 : 44 -> 46 ; 56503 : 60 -> 61 ; 56502 : 47 -> 48 ; 57305 : 59 -> 60 ; 56502 : 49 -> 50 ; 56503 : 64 -> 66 ; 56502 : 53 -> 55 ; 57305 : 66 -> 67 ; 07712 : 10 -> 12 ; 12704 : 5 -> 6 ; 06336 : 24 -> 25 ; 18504 : 20 -> 21 ; 17016 : 16 -> 17 ; 17487 : 22 -> 24 ; 17239 : 16 -> 17 ; 57229 : 24 -> 25 ; 12728 : 13 -> 14 ; 17480 : 36 -> 37 ; 07712 : 21 -> 22 ; 17016 : 20 -> 21 ; 57271 : 39 -> 40 ; 22870 : 10 -> 11 ; 57229 : 32 -> 33 ; 02509 : 5 -> 6 ; 12840 : 19 -> 20 ; 17016 : 28 -> 29 ; 17480 : 49 -> 51 ; 18507 : 3 -> 4 ; 12507 : 28 -> 29 ; 12840 : 26 -> 27 ; 17480 : 61 -> 62 ; 18438 : 23 -> 24 ; 12844 : 38 -> 40 ; 17480 : 69 -> 71 ; 18646 : 40 -> 41 ; 18464 : 45 -> 46 ; 06336 : 35 -> 36 ; 18416 : 5 -> 6,1872
37,54602 : 21 -> 22 ; 11450 : 8 -> 9 ; 14036 : 10 -> 12 ; 04414 : 8 -> 9 ; 14036 : 13 -> 14 ; 04414 : 10 -> 11 ; 14520 : 14 -> 15 ; 12482 : 13 -> 14 ; 14036 : 16 -> 17 ; 12556 : 5 -> 7 ; 11058 : 33 -> 34 ; 12904 : 14 -> 15 ; 11078 : 29 -> 30 ; 09808 : 3 -> 4 ; 13237 : 20 -> 21 ; 19040 : 53 -> 54 ; 12926 : 21 -> 22 ; 12904 : 21 -> 22 ; 08244 : 12 -> 13 ; 12466 : 16 -> 17 ; 22982 : 26 -> 27 ; 29020 : 26 -> 27 ; 19020 : 40 -> 41 ; 11204 : 13 -> 14 ; 12968 : 5 -> 6 ; 12970 : 6 -> 7 ; 19020 : 47 -> 48 ; 12416 : 11 -> 12 ; 12466 : 22 -> 23 ; 12416 : 13 -> 14 ; 12466 : 24 -> 25 ; 12416 : 15 -> 16 ; 19020 : 55 -> 56 ; 12968 : 10 -> 11 ; 52973 : 1 -> 11 ; 52993 : 5 -> 6 ; 52973 : 12 -> 13 ; 52993 : 7 -> 8 ; 52973 : 14 -> 19 ; 52993 : 13 -> 14 ; 52973 : 20 -> 24 ; 15646 : 42 -> 43 ; 11062 : 27 -> 28 ; 01712 : 9 -> 10 ; 12656 : 28 -> 29 ; 59014 : 9 -> 12,1405
38,16307 : 23 -> 24 ; 16313 : 20 -> 21 ; 16606 : 30 -> 31 ; 16305 : 15 -> 16 ; 12601 : 23 -> 24 ; 12082 : 15 -> 16 ; 12617 : 14 -> 15 ; 12601 : 26 -> 27 ; 11098 : 9 -> 10 ; 16859 : 47 -> 48 ; 16347 : 47 -> 48 ; 16604 : 32 -> 33 ; 16518 : 5 -> 6 ; 16336 : 26 -> 27 ; 22636 : 3 -> 4 ; 10216 : 11 -> 12 ; 16346 : 33 -> 34 ; 12620 : 9 -> 10 ; 11098 : 18 -> 19 ; 12620 : 11 -> 12 ; 11098 : 20 -> 21 ; 12620 : 14 -> 15 ; 16346 : 37 -> 38 ; 12617 : 25 -> 26 ; 12741 : 3 -> 4 ; 10104 : 6 -> 8 ; 19259 : 25 -> 26 ; 50104 : 1 -> 2 ; 50106 : 13 -> 14 ; 50104 : 3 -> 4 ; 10104 : 14 -> 15,1081
39,58112 : 78 -> 79 ; 12872 : 13 -> 14 ; 18418 : 15 -> 16 ; 18006 : 30 -> 33 ; 18478 : 56 -> 57 ; 58114 : 41 -> 42 ; 58112 : 89 -> 90 ; 58114 : 43 -> 44 ; 18029 : 66 -> 67 ; 12872 : 17 -> 18 ; 13287 : 20 -> 21 ; 12872 : 19 -> 20 ; 13287 : 22 -> 23 ; 58012 : 5 -> 6 ; 13287 : 26 -> 28 ; 12865 : 9 -> 10 ; 13302 : 4 -> 5 ; 13287 : 30 -> 31 ; 02511 : 13 -> 14 ; 08449 : 8 -> 9 ; 15027 : 14 -> 15 ; 18449 : 19 -> 20 ; 22843 : 14 -> 15 ; 13007 : 14 -> 15 ; 83131 : 6 -> 7 ; 13007 : 16 -> 17 ; 83131 : 8 -> 9 ; 12351 : 10 -> 12 ; 83131 : 12 -> 13 ; 13021 : 21 -> 22 ; 15653 : 15 -> 16 ; 12203 : 7 -> 8 ; 14018 : 33 -> 34,728
40,15111 : 4 -> 13 ; 14203 : 1 -> 7 ; 14308 : 34 -> 35,3
41,14313 : 15 -> 27 ; 14308 : 1 -> 18,2
42,23010 : 58 -> 59,1
43,14266 : 8 -> 14,1
44,15043 : 9 -> 11,1
45,15043 : 5 -> 7,1
46,23010 : 35 -> 62,2
47,14313 : 14 -> 27 ; 23010 : 9 -> 64,3
48,23010 : 2 -> 32,2
49,14266 : 35 -> 50 ; 23010 : 38 -> 68,3
50,18204 : 2 -> 7 ; 12540 : 6 -> 12 ; 12644 : 13 -> 20 ; 22651 : 6 -> 13,4
51,18473 : 20 -> 35 ; 15045 : 24 -> 33,2
52,12214 : 13 -> 14 ; 11302 : 13 -> 28 ; 51434 : 4 -> 5,3
53,12401 : 3 -> 20 ; 13007 : 55 -> 77 ; 59812 : 2 -> 10,3
54,59811 : 28 -> 30 ; 18214 : 5 -> 20 ; 22828 : 7 -> 13,3
55,12894 : 2 -> 15 ; 22643 : 24 -> 41 ; 15097 : 5 -> 16,3
56,11043 : 4 -> 19 ; 12864 : 9 -> 29 ; 18416 : 5 -> 8,3
57,59440 : 34 -> 67 ; 12978 : 11 -> 24 ; 22852 : 5 -> 14 ; 12083 : 7 -> 8,4
58,50104 : 5 -> 38 ; 12859 : 2 -> 18 ; 58112 : 35 -> 77,3
59,59208 : 27 -> 34 ; 22939 : 3 -> 19 ; 16032 : 46 -> 57 ; 17234 : 17 -> 18,4
60,19269 : 22 -> 24 ; 23010 : 19 -> 29,01:12:22:00
61,14266 : 10 -> 31 ; 19269 : 24 -> 27,02:10:50:00
62,23010 : 25 -> 32,01:13:31:00
63,23010 : 67 -> 68,01:05:40:00
64,15111 : 6 -> 13 ; 14203 : 1 -> 16 ; 19269 : 24 -> 32,02:16:13:00
65,23010 : 62 -> 65,01:03:08:00
66,23010 : 65 -> 67,01:04:22:00
67,23010 : 63 -> 71,01:06:55:00
68,23010 : 14 -> 42,00:17:55:00
69,14266 : 24 -> 42,01:12:10:00
70,16176 : 5 -> 11 ; 16186 : 10 -> 15 ; 12164 : 1 -> 2 ; 12390 : 2 -> 4 ; 12645 : 18 -> 20 ; 12803 : 8 -> 9 ; 12643 : 24 -> 26 ; 12293 : 4 -> 6 ; 18631 : 30 -> 31 ; 12143 : 10 -> 11 ; 12355 : 11 -> 12,02:20:48:00
71,12865 : 6 -> 7 ; 18515 : 1 -> 2 ; 18189 : 3 -> 8 ; 13351 : 15 -> 17 ; 18189 : 10 -> 11 ; 12860 : 6 -> 13 ; 18030 : 50 -> 52 ; 58839 : 2 -> 32,01:22:20:00
72,13152 : 32 -> 33 ; 12435 : 24 -> 25 ; 12581 : 6 -> 7 ; 12716 : 13 -> 21 ; 22110 : 4 -> 8 ; 17318 : 2 -> 9 ; 11047 : 4 -> 5,02:00:54:00
73,51033 : 6 -> 8 ; 11028 : 48 -> 49 ; 19201 : 11 -> 13 ; 17018 : 15 -> 16 ; 12009 : 3 -> 9 ; 17204 : 27 -> 28 ; 19565 : 8 -> 13 ; 19579 : 7 -> 10 ; 16587 : 27 -> 31 ; 19224 : 43 -> 44,02:04:08:00
74,57550 : 3 -> 6 ; 11402 : 22 -> 28 ; 12137 : 8 -> 38 ; 12230 : 1 -> 4 ; 54076 : 8 -> 12 ; 15011 : 7 -> 11,02:08:18:00
75,19806 : 13 -> 15 ; 12002 : 2 -> 9 ; 12650 : 3 -> 4 ; 12646 : 11 -> 12 ; 12644 : 12 -> 14 ; 00851 : 4 -> 5 ; 22851 : 21 -> 22 ; 56214 : 1 -> 5 ; 57477 : 4 -> 9,02:01:05:00
76,56640 : 22 -> 30 ; 10112 : 1 -> 17 ; 22655 : 17 -> 19 ; 22653 : 19 -> 23 ; 19567 : 32 -> 35 ; 16587 : 21 -> 24 ; 59272 : 22 -> 25 ; 16587 : 27 -> 32 ; 22471 : 1 -> 2,02:09:38:00
77,16232 : 20 -> 21 ; 16859 : 11 -> 19 ; 22852 : 15 -> 20 ; 07323 : 3 -> 10 ; 17430 : 13 -> 21 ; 11014 : 23 -> 30 ; 12158 : 2 -> 3 ; 11045 : 5 -> 6 ; 12627 : 20 -> 21 ; 51422 : 50 -> 51,02:14:07:00
78,58839 : 17 -> 19 ; 58838 : 5 -> 15 ; 12434 : 6 -> 8 ; 12612 : 8 -> 11 ; 22639 : 1 -> 7 ; 16858 : 13 -> 14 ; 16611 : 10 -> 11,02:04:04:00
79,13401 : 1 -> 15 ; 18184 : 16 -> 35 ; 12860 : 3 -> 14 ; 22694 : 4 -> 5 ; 15023 : 19 -> 20 ; 12976 : 32 -> 33 ; 57306 : 44 -> 46 ; 57305 : 15 -> 17,02:16:04:00
